water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.1,83.5,896020.0285,896.0200285
160.1,84.5,892373.718,892.373718
160.1,85.5,888786.1049,888.7861049
160.1,86.5,885255.8622,885.2558622
160.1,87.5,881779.0825,881.7790825
160.1,88.5,878357.265,878.357265
160.1,89.5,874986.4321,874.9864321
160.1,90.5,871665.709,871.665709
160.1,91.5,868391.749,868.391749
160.1,92.5,865167.0044,865.1670044
160.1,93.5,861983.0553,861.9830553
160.1,94.5,858841.7633,858.8417633
160.1,95.5,855738.8141,855.7388141
160.1,96.5,852669.2151,852.6692151
160.1,97.5,849624.7941,849.6247941
160.1,98.5,846584.9263,846.5849263
160.1,99.5,843236.639,843.236639
160.2,-99.5,843113.553,843.113553
160.2,-98.5,846463.1173,846.4631173
160.2,-97.5,849502.9386,849.5029386
160.2,-96.5,852547.2226,852.5472226
160.2,-95.5,855616.8272,855.6168272
160.2,-94.5,858719.9744,858.7199744
160.2,-93.5,861861.5019,861.8615019
160.2,-92.5,865044.0705,865.0440705
160.2,-91.5,868271.0176,868.2710176
160.2,-90.5,871543.929,871.543929
160.2,-89.5,874864.8734,874.8648734
160.2,-88.5,878235.6681,878.2356681
160.2,-87.5,881658.071,881.658071
160.2,-86.5,885133.8158,885.1338158
160.2,-85.5,888664.636,888.664636
160.2,-84.5,892252.2817,892.2522817
160.2,-83.5,895898.5322,895.8985322
160.2,-82.5,899605.2063,899.6052063
160.2,-81.5,903374.1704,903.3741704
160.2,-80.5,907207.3458,907.2073458
160.2,-79.5,911106.715,911.106715
160.2,-78.5,915074.3267,915.0743267
160.2,-77.5,919112.3034,919.1123034
160.2,-76.5,923222.8449,923.2228449
160.2,-75.5,927408.2346,927.4082346
160.2,-74.5,931670.8447,931.6708447
160.2,-73.5,936013.1419,936.0131419
160.2,-72.5,940437.6926,940.4376926
160.2,-71.5,944947.1692,944.9471692
160.2,-70.5,949544.3557,949.5443557
160.2,-69.5,954232.1577,954.2321577
160.2,-68.5,959013.5993,959.0135993
160.2,-67.5,963891.8151,963.8918151
160.2,-66.5,968870.1617,968.8701617
160.2,-65.5,973952.0129,973.9520129
160.2,-64.5,979141.0035,979.1410035
160.2,-63.5,984440.8909,984.4408909
160.2,-62.5,989855.5879,989.8555879
160.2,-61.5,995389.2061,995.3892061
160.2,-60.5,1001046.039,1001.046039
160.2,-59.5,1006830.576,1006.830576
160.2,-58.5,1012747.516,1012.747516
160.2,-57.5,1018801.77,1018.80177
160.2,-56.5,1024998.477,1024.998477
160.2,-55.5,1031343.013,1031.343013
160.2,-54.5,1037840.997,1037.840997
160.2,-53.5,1044498.307,1044.498307
160.2,-52.5,1051321.082,1051.321082
