water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.8,-9.5,82592.42953733739,82.5924295373374
160.8,-8.5,82849.34094131469,82.8493409413147
160.8,-7.5,83090.58044117021,83.09058044117022
160.8,-6.5,83316.34301003613,83.31634301003614
160.8,-5.5,83526.84219143356,83.52684219143356
160.8,-4.5,83722.3090669554,83.72230906695539
160.8,-3.5,83902.99117157498,83.90299117157498
160.8,-2.5,84069.1513662266,84.06915136622659
160.8,-1.5,84221.06667670909,84.22106667670909
160.8,-0.5,84359.02710894664,84.35902710894663
160.8,0.5,84483.33444798972,84.48333444798972
160.8,1.5,84594.30105071953,84.59430105071952
160.8,2.5,84692.24863964913,84.69224863964914
160.8,3.5,84777.50710620848,84.77750710620847
160.8,4.5,84850.41332972025,84.85041332972025
160.8,5.5,84911.31002061562,84.91131002061562
160.8,6.5,84960.5445912701,84.9605445912701
160.8,7.5,84998.46806209163,84.99846806209163
160.8,8.5,85025.4340074011,85.0254340074011
160.8,9.5,85041.79754310186,85.04179754310185
160.9,-24.5,76754.13434950566,76.75413434950566
160.9,-23.5,77254.32160376219,77.2543216037622
160.9,-22.5,77738.61420723535,77.73861420723536
